證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
5521,工信,"1,970,775",834,"19,167,692",9.95,9.95,9.56,9.86,140.86
5522,遠雄,"2,747,649","2,130","199,248,103",72.70,74.20,70.00,73.00,12.21
5525,順天,"125,471",106,"3,740,973",29.70,30.40,29.45,30.30,27.30
5531,鄉林,"1,498,726",662,"14,637,404",9.98,10.05,9.54,9.88,0.00
5533,皇鼎,"235,746",209,"4,504,554",19.20,19.35,18.85,19.30,13.13
5534,長虹,"792,246",789,"64,260,629",82.10,82.10,80.50,81.30,11.00
5538,東明-KY,"48,418",91,"1,515,558",31.80,31.95,30.95,31.05,17.06
5546,永固-KY,"7,501",18,"222,613",30.00,30.00,28.60,29.75,0.00
5607,遠雄港,"645,157",791,"26,216,846",41.00,41.10,40.15,40.95,23.53
5608,四維航,"1,222,812",738,"19,282,145",16.00,16.25,15.65,15.70,0.00
5706,鳳凰,"442,828","1,548","26,697,138",61.50,61.50,59.60,59.80,15.65
5871,中租-KY,"9,130,582","7,902","1,011,311,973",112.00,112.00,110.00,110.00,8.30
5871A,中租-KY甲特,"82,465",52,"8,132,594",98.70,98.70,98.50,98.60,0.00
5876,上海商銀,"10,008,729","4,647","409,822,943",40.55,41.20,40.50,40.90,18.85
5880,合庫金,"16,470,323","8,667","397,016,584",24.15,24.30,24.00,24.15,19.80
5906,台南-KY,"61,002",27,"3,421,417",55.10,57.00,55.10,55.10,25.51
5907,大洋-KY,"694,361",342,"6,597,352",9.93,9.93,9.20,9.56,0.00
6005,群益證,"20,517,637","9,557","570,052,839",27.60,28.20,26.80,27.90,12.86
6024,群益期,"651,945",893,"37,126,593",57.90,57.90,56.60,57.10,10.02
6108,競國,"1,361,625",682,"20,593,135",15.65,15.65,14.85,14.95,7.75
6112,邁達特,"15,333,153","11,632","882,754,386",59.30,60.10,55.00,57.80,35.24
6115,鎰勝,"137,465",152,"7,000,873",50.80,51.50,50.70,50.90,17.49
6116,彩晶,"5,561,560","2,767","41,832,828",7.67,7.67,7.45,7.58,0.00
6117,迎廣,"1,249,385","1,226","107,478,379",90.00,90.50,83.90,83.90,21.91
6120,達運,"1,737,107",827,"20,146,002",11.80,11.80,11.40,11.60,40.00
6128,上福,"62,953",78,"2,109,747",33.75,33.75,33.30,33.65,10.58
6133,金橋,"716,947",454,"12,715,835",18.40,18.40,17.55,17.70,50.57
6136,富爾特,"342,897",325,"7,860,579",23.10,23.10,22.70,22.95,32.79
6139,亞翔,"3,416,075","6,502","784,336,820",230.00,233.00,225.00,230.00,12.97
6141,柏承,"2,135,678","1,176","32,437,350",16.25,16.25,14.80,14.80,0.00
6142,友勁,"1,404,801",569,"14,626,006",10.75,11.05,10.00,10.35,0.00
6152,百一,"913,196",496,"10,972,538",12.40,12.40,11.90,11.95,0.00
