證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
911608,明輝-DR,"12,010",11,"40,786",3.40,3.43,3.34,3.40,0.00
911622,泰聚亨-DR,"42,006",29,"188,306",4.37,4.59,4.37,4.55,0.00
911868,同方友友-DR,"82,101",35,"116,154",1.42,1.42,1.41,1.41,0.00
912000,晨訊科-DR,"327,318",158,"971,247",2.94,3.01,2.94,2.95,0.00
9136,巨騰-DR,"226,155",91,"1,460,904",6.50,6.51,6.40,6.48,0.00
9802,鈺齊-KY,"1,651,187","1,222","193,192,398",117.00,119.00,115.50,118.00,26.28
9902,台火,"77,129",85,"1,139,591",14.85,14.85,14.65,14.80,18.50
9904,寶成,"13,466,792","5,452","472,616,214",35.35,35.55,34.90,35.00,7.46
9905,大華,"78,642",32,"1,794,554",22.85,22.90,22.80,22.80,14.90
9906,欣巴巴,"404,501",473,"43,125,066",106.50,108.50,104.50,105.50,31.49
9907,統一實,"1,460,280",726,"21,697,725",14.65,15.00,14.65,14.80,22.09
9908,大台北,"79,184",92,"2,386,262",30.20,30.30,30.05,30.05,15.33
9910,豐泰,"687,409",706,"89,376,238",132.50,133.00,129.00,130.00,22.85
9911,櫻花,"226,310",492,"18,654,241",82.60,83.10,82.20,82.30,13.45
9912,偉聯,"36,224",88,"426,645",11.80,11.90,11.70,11.90,0.00
9914,美利達,"502,141",918,"77,536,649",152.50,156.50,152.50,154.00,31.56
9917,中保科,"210,348",373,"25,911,828",123.00,124.00,122.50,123.00,19.34
9918,欣天然,"5,967",33,"237,461",39.50,39.50,39.40,39.40,17.43
9919,康那香,"7,971,878","3,746","160,867,138",20.75,20.90,19.80,20.40,0.00
9921,巨大,"678,795",861,"97,135,405",143.50,145.00,141.50,144.00,23.04
9924,福興,"177,901",171,"9,090,854",51.10,51.30,50.90,51.00,10.45
9925,新保,"77,864",83,"3,168,264",40.55,40.90,40.55,40.90,17.63
9926,新海,"3,019",4,"152,956",50.60,50.70,50.60,50.60,18.53
9927,泰銘,"44,919",223,"2,937,681",65.40,65.50,65.20,65.40,11.05
9928,中視,"120,010",47,"1,812,053",15.35,15.50,15.00,15.10,45.76
9929,秋雨,"2,864",4,"44,692",15.50,15.80,15.50,15.80,0.00
9930,中聯資源,"40,828",135,"2,710,667",66.50,66.70,66.10,66.30,15.24
9931,欣高,"6,066",8,"206,203",33.60,34.15,33.60,34.15,14.78
9933,中鼎,"2,044,328","1,176","80,291,797",39.30,39.75,39.10,39.20,15.49
9934,成霖,"1,599,888",685,"21,785,445",13.25,13.90,13.20,13.60,10.00
9935,慶豐富,"613,569",616,"18,277,733",29.35,30.10,29.35,29.65,15.77
9937,全國,"62,024",58,"3,935,819",63.00,64.50,62.50,64.00,26.56
9938,百和,"896,294",891,"59,896,110",67.20,67.80,66.20,67.10,15.90
9939,宏全,"692,203",626,"100,849,765",145.50,147.50,144.50,146.00,14.70
9940,信義,"301,053",365,"8,358,180",27.85,28.00,27.65,27.75,10.47
9941,裕融,"587,640",742,"65,553,996",110.00,112.50,110.00,111.50,13.75
9941A,裕融甲特,"5,000",5,"256,400",51.20,51.30,51.20,51.30,0.00
9942,茂順,"23,816",49,"2,658,712",112.00,112.00,111.50,111.50,12.85
9943,好樂迪,"40,133",103,"3,084,801",76.70,77.10,76.60,77.10,16.13
9944,新麗,"80,810",81,"1,642,743",20.25,20.55,20.20,20.40,170.00
9945,潤泰新,"3,132,737","2,849","128,112,213",40.45,41.10,40.40,41.00,10.30
9946,三發地產,"254,090",180,"5,225,202",20.70,21.00,20.30,20.80,23.64
9955,佳龍,"245,587",240,"6,845,888",28.00,28.25,27.50,28.20,0.00
9958,世紀鋼,"3,065,894","2,762","462,806,249",147.00,154.00,147.00,154.00,18.78
